line_id,name,name_ja,operator,station_order
odpt.Railway:Toei.Shinjuku,Shinjuku Line,新宿線,Tokyo Metropolitan Bureau of Transportation,st_00167|st_00162|st_00166|st_00163|st_00173|st_00172|st_00171|st_00174|st_00165|st_00150|st_00147|st_00148|st_00151|st_00152|st_00153|st_00156|st_00138|st_00143|st_00168|st_00197|st_00230
odpt.Railway:TokyoMetro.Chiyoda,Chiyoda Line,千代田線,Tokyo Metro,st_00105|st_00106|st_00107|st_00100|st_00102|st_00116|st_00121|st_00117|st_00124|st_00132|st_00139|st_00171|st_00198|st_00223|st_00236|st_00248|st_00262|st_00274|st_00289|st_00299
odpt.Railway:TokyoMetro.Fukutoshin,Fukutoshin Line,副都心線,Tokyo Metro,st_00307|st_00298|st_00294|st_00286|st_00273|st_00264|st_00255|st_00246|st_00241|st_00228|st_00203|st_00181|st_00162|st_00129|st_00107|st_00088
odpt.Railway:TokyoMetro.Ginza,Ginza Line,銀座線,Tokyo Metro,st_00088|st_00100|st_00113|st_00120|st_00126|st_00121|st_00112|st_00099|st_00115|st_00125|st_00133|st_00145|st_00169|st_00188|st_00204|st_00215|st_00213|st_00209|st_00206
odpt.Railway:TokyoMetro.Hanzomon,Hanzomon Line,半蔵門線,Tokyo Metro,st_00088|st_00100|st_00120|st_00126|st_00142|st_00173|st_00172|st_00139|st_00145|st_00144|st_00134|st_00151|st_00176|st_00212
odpt.Railway:TokyoMetro.Hibiya,Hibiya Line,日比谷線,Tokyo Metro,st_00070|st_00075|st_00079|st_00095|st_00091|st_00112|st_00117|st_00124|st_00115|st_00111|st_00103|st_00122|st_00130|st_00144|st_00157|st_00174|st_00204|st_00215|st_00227|st_00244|st_00247|st_00274
odpt.Railway:TokyoMetro.Marunouchi,Marunouchi Line,丸ノ内線,Tokyo Metro,st_00194|st_00184|st_00179|st_00182|st_00177|st_00180|st_00170|st_00167|st_00162|st_00149|st_00146|st_00140|st_00126|st_00121|st_00117|st_00115|st_00139|st_00171|st_00202|st_00208|st_00222|st_00237|st_00241
odpt.Railway:TokyoMetro.MarunouchiBranch,Marunouchi Branch Line,丸ノ内線支線,Tokyo Metro,st_00137|st_00160|st_00164|st_00180
odpt.Railway:TokyoMetro.Namboku,Namboku Line,南北線,Tokyo Metro,st_00060|st_00063|st_00069|st_00085|st_00098|st_00121|st_00126|st_00140|st_00163|st_00189|st_00208|st_00224|st_00234|st_00253|st_00269|st_00284|st_00291|st_00301|st_00303
odpt.Railway:TokyoMetro.Tozai,Tozai Line,東西線,Tokyo Metro,st_00196|st_00211|st_00217|st_00195|st_00193|st_00189|st_00173|st_00158|st_00139|st_00133|st_00130|st_00119|st_00109|st_00110|st_00104|st_00096|st_00093|st_00101|st_00118|st_00135|st_00161|st_00191|st_00201
odpt.Railway:TokyoMetro.Yurakucho,Yurakucho Line,有楽町線,Tokyo Metro,st_00307|st_00298|st_00294|st_00286|st_00273|st_00264|st_00255|st_00246|st_00241|st_00235|st_00226|st_00207|st_00189|st_00163|st_00141|st_00126|st_00127|st_00124|st_00115|st_00103|st_00094|st_00080|st_00072|st_00073
odpt.Railway:TokyoMonorail.HanedaAirport,Haneda Airport Line,羽田空港線,Tokyo Monorail,st_00049|st_00086
odpt.Railway:Tokyu.DenEnToshi,Den-En-Toshi Line,田園都市線,Tokyu Railways,st_00040|st_00088|st_00333|st_00336|st_00419|st_00425
odpt.Railway:Tokyu.Ikegami,Ikegami Line,池上線,Tokyu Railways,st_00046|st_00054
odpt.Railway:Tokyu.Meguro,Meguro Line,目黒線,Tokyu Railways,st_00035|st_00060|st_00347|st_00363|st_00364|st_00387|st_00388
odpt.Railway:Tokyu.Oimachi,Oimachi Line,大井町線,Tokyu Railways,st_00043|st_00044
odpt.Railway:Tokyu.TokyuShinYokohama,Tokyu Shin-Yokohama Line,東急新横浜線,Tokyu Railways,st_00025|st_00035
odpt.Railway:Tokyu.Toyoko,Toyoko Line,東横線,Tokyu Railways,st_00020|st_00035|st_00070|st_00088|st_00348|st_00389|st_00405|st_00409
odpt.Railway:ToyoRapid.ToyoRapid,Toyo Rapid Line,東葉高速線,Toyo Rapid Railway,st_00201|st_00350|st_00381
odpt.Railway:TWR.Rinkai,Rinkai Line,りんかい線,Tokyo Waterfront Area Rapid Transit,st_00073|st_00066|st_00061|st_00055|st_00049|st_00045|st_00044|st_00048
odpt.Railway:YokohamaMunicipal.Blue,Blue Line,ブルーライン,"Transportation Bureau, City of Yokohama",st_00001|st_00007|st_00011|st_00010|st_00008|st_00002|st_00005|st_00006|st_00004|st_00003|st_00009|st_00012|st_00013|st_00014|st_00015|st_00016|st_00017|st_00018|st_00019|st_00020|st_00022|st_00021|st_00023|st_00024|st_00025|st_00027|st_00028|st_00030|st_00032|st_00036|st_00039|st_00040
odpt.Railway:YokohamaMunicipal.Green,Green Line,グリーンライン,"Transportation Bureau, City of Yokohama",st_00026|st_00029|st_00031|st_00032|st_00036|st_00038|st_00037|st_00033|st_00034|st_00035
odpt.Railway:Yurikamome.Yurikamome,Yurikamome line,ゆりかもめ,Yurikamome,st_00099|st_00092|st_00081|st_00078|st_00067|st_00056|st_00053|st_00050|st_00047|st_00052|st_00057|st_00061|st_00065|st_00071|st_00077|st_00080
